iter	Passed	Remaining
0	61	61751
1	64	32184
2	66	22056
3	68	16975
4	70	13988
5	72	11955
6	74	10540
7	76	9462
8	78	8617
9	80	7946
10	82	7386
11	84	6928
12	86	6548
13	88	6213
14	90	5931
15	92	5675
16	94	5438
17	95	5225
18	97	5035
19	99	4874
20	101	4729
21	103	4598
22	105	4479
23	107	4365
24	109	4266
25	111	4170
26	113	4080
27	115	4002
28	117	3920
29	119	3849
30	121	3783
31	123	3722
32	125	3685
33	127	3628
34	129	3575
35	131	3525
36	133	3474
37	135	3427
38	137	3392
39	139	3350
40	141	3307
41	143	3265
42	145	3227
43	147	3194
44	149	3162
45	150	3126
46	152	3101
47	154	3072
48	156	3043
49	158	3012
50	160	2985
51	162	2955
52	163	2925
53	165	2897
54	167	2875
55	169	2852
56	171	2830
57	173	2810
58	174	2790
59	177	2775
60	178	2753
61	180	2735
62	182	2720
63	184	2702
64	186	2685
65	189	2682
66	192	2679
67	194	2671
68	197	2664
69	199	2647
70	201	2634
71	206	2659
72	210	2670
73	212	2660
74	214	2648
75	216	2636
76	218	2622
77	220	2610
78	223	2609
79	225	2597
80	227	2585
81	229	2573
82	231	2561
83	234	2559
84	236	2551
85	239	2540
86	240	2526
87	242	2516
88	244	2504
89	246	2493
90	248	2483
91	250	2472
92	252	2461
93	254	2453
94	256	2443
95	258	2433
96	260	2421
97	262	2412
98	263	2400
99	266	2398
100	268	2392
101	271	2385
102	272	2375
103	274	2366
104	276	2357
105	278	2348
106	280	2339
107	282	2329
108	283	2319
109	287	2322
110	289	2315
111	290	2306
112	292	2297
113	294	2292
114	296	2281
115	298	2274
116	300	2266
117	302	2259
118	304	2252
119	306	2245
120	308	2238
121	310	2233
122	312	2226
123	314	2218
124	316	2213
125	319	2213
126	321	2210
127	323	2204
128	325	2197
129	327	2191
130	329	2186
131	331	2180
132	333	2171
133	335	2166
134	337	2162
135	339	2156
136	341	2150
137	343	2144
138	345	2137
139	347	2133
140	349	2129
141	351	2123
142	353	2118
143	355	2112
144	357	2106
145	359	2101
146	361	2098
147	363	2092
148	367	2097
149	369	2091
150	371	2089
151	373	2085
152	375	2079
153	377	2075
154	379	2069
155	382	2068
156	384	2061
157	386	2061
158	388	2055
159	390	2051
160	392	2047
161	394	2041
162	396	2037
163	399	2035
164	401	2030
165	403	2025
166	405	2021
167	407	2016
168	409	2012
169	411	2008
170	413	2006
171	416	2003
172	418	2002
173	420	1997
174	422	1993
175	424	1989
176	426	1984
177	428	1979
178	430	1975
179	432	1969
180	434	1964
181	436	1960
182	437	1955
183	439	1951
184	441	1946
185	443	1942
186	446	1939
187	448	1935
188	450	1930
189	451	1926
190	454	1924
191	456	1920
192	458	1915
193	460	1911
194	462	1909
195	465	1909
196	467	1905
197	469	1901
198	471	1897
199	473	1892
200	474	1887
201	477	1887
202	480	1884
203	482	1880
204	483	1876
205	485	1873
206	487	1868
207	489	1863
208	491	1859
209	493	1856
210	495	1852
211	497	1848
212	499	1844
213	501	1840
214	502	1836
215	504	1831
216	506	1828
217	508	1825
218	511	1822
219	513	1818
220	515	1815
221	516	1811
222	519	1808
223	521	1805
224	522	1801
225	524	1797
226	526	1794
227	528	1791
228	530	1787
229	532	1783
230	534	1779
231	536	1775
232	538	1771
233	540	1767
234	541	1764
235	544	1761
236	546	1758
237	547	1754
238	549	1750
239	551	1747
240	553	1743
241	555	1739
242	557	1736
243	559	1733
244	561	1730
245	563	1726
246	565	1723
247	567	1720
248	569	1716
249	570	1712
250	572	1709
251	574	1706
252	576	1702
253	578	1698
